1,1
1,2
1,3
1,6
1,8
1,12
1,13
1,14
1,15
1,17
1,19
2,2
2,12
2,13
2,14
2,15
2,16
2,17
3,1
3,2
3,4
3,6
3,7
3,8
3,10
3,14
3,15
3,19
3,20
4,2
4,4
4,5
4,9
4,10
4,13
4,14
4,17
4,19
4,20
5,2
5,3
5,4
5,5
5,6
5,7
5,8
5,9
5,15
5,17
5,18
5,20
6,1
6,4
6,6
6,11
6,14
6,15
6,16
6,17
6,19
6,20
7,5
7,6
7,7
7,10
7,13
7,14
8,2
8,3
8,5
8,6
8,8
8,9
8,12
8,14
8,15
8,18
9,1
9,4
9,5
9,7
9,8
9,10
9,13
9,17
9,18
10,1
10,2
10,3
10,4
10,10
10,11
10,12
10,14
10,15
10,17
10,20
11,1
11,3
11,4
11,7
11,8
11,11
11,14
11,16
11,18
11,20
12,3
12,5
12,6
12,7
12,8
12,12
12,14
12,17
12,19
12,20
13,1
13,8
13,11
13,15
13,18
13,19
14,2
14,4
14,6
14,7
14,10
14,11
14,12
14,13
14,14
14,16
14,17
14,18
14,19
14,20
15,2
15,3
15,4
15,7
15,9
15,11
15,12
15,13
15,14
16,5
16,6
16,7
16,9
16,11
16,14
16,15
16,16
16,17
16,20
17,1
17,3
17,4
17,6
17,9
17,14
17,15
17,16
17,17
17,18
18,1
18,2
18,3
18,5
18,7
18,9
18,10
18,11
18,13
18,18
18,19
