1,1,Super cute space and close to campus. Would recommend to anyone!,,
1,9,We loved having the opportunity to stay in this gorgeous and homey loft! Wonderful location (close to downtown, but also residential and quiet) with an awesome bakery below. Kaya and Teresa¡¯s unique touches made the loft such a fun and memorable place to be! Thank you so much!!,
1,4,A beautiful apartment, super stylish and bright! Perfect for a getaway weekend!,
1,5,Has a wonderful stay! This was our first air b&b experience and definitely plan to stay again! Space was clean and nice! Many special touches that made it feel like home.,,
1,6,This is very nice place with all that you could need for a stay - a nice bed, a comfortable and spacious living room, as well as a kitchen and bathroom. All clean and in good order.
1,2,Clean and cozy loft on a quiet, residential street. Great service, great location!
1,1,Awesome place to stay, host communicated quickly. Highly recommend.,
1,14,Quite convenient for us. We began the day with breakfast at the bakery and then drove to campus to do our work.,,
1,8,Had an awesome stay. Will definitely stay here again!,,
1,13,A very cute little apartment with everything you could need. Close to campus and town and wonderful smells every morning from the bakery downstairs.,,
2,2,Great location, great value and fantastic host. Comfortable room. Would stay here again and if you are making a visit to the area you will not be disappointed!,
2,3,Very friendly, hospitable and respectful of privacy. Would definitely stay there again and highly recommend it for 1-2 people.,
2,4,Great place. Very clean. Great privacy on the second floor. Lovely cats and dogs.,,
2,5,Property is exactly as advertised! Kayleigh is a super host, very friendly and helpful. And i loved the cat :) :),
2,6,Second time we have stayed there. We love the location. It is easy to get to and convenient for the area. The bed is really comfy. Plenty of amenities in the room. Very hospitable couple, quick to address anything you need.,
2,7,Very accommodating!! Easy to talk to. Provided many essentials - much appreciated.,,
2,8,The place was great and Kayleigh and Nate were excellent hosts. Didn¡¯t have many interactions due to schedules, but the interactions I did have were overwhelmingly positive. Would stay there again.,
2,9,Great place!,,
2,10,We stayed here four (Website hidden by Airbnb) was consistently top notch.,,
2,11,Overall I enjoyed my stay because the hosts are very kind and friendly and despite some small issues, the bedroom is cozy and comfortable: The gaps between jalousie windows in the bedroom are quite large. Wish there is a lock for the room. And the calling light made me dizzy.,
2,13,This is a WONDERFUL place...bed like a cloud...cleaner than clean...EVERYTHING YOU NEED and super hosts!
3,4,Very clean, quiet neighborhood.
3,5,Really good and cheap place.
